@ID,@dDevdCasZpravy,ID_iot_device,@iDevdAverageCurrent
1486,36:06.0,3,91
1487,50:18.0,5,NULL
1488,35:47.0,3,88
1489,50:15.0,5,NULL
1490,35:30.0,3,221
1491,50:13.0,5,NULL
1492,35:42.0,3,236
1493,50:12.0,5,NULL
1494,34:36.0,3,89
1495,50:11.0,5,NULL
1496,50:09.0,5,NULL
1497,34:17.0,3,83
1498,50:10.0,5,NULL
1499,34:26.0,3,243
1500,50:07.0,5,NULL
1501,33:42.0,3,86
1502,50:06.0,5,NULL
1503,33:24.0,3,231
1504,50:09.0,5,NULL
1505,33:06.0,3,93
1506,50:03.0,5,NULL
1507,32:48.0,3,241
1508,50:02.0,5,NULL
1509,32:29.0,3,88
1510,50:01.0,5,NULL
1511,32:14.0,3,234
1512,50:00.0,5,NULL
1513,31:53.0,3,84
1514,49:58.0,5,NULL
1515,32:02.0,3,237
1516,49:57.0,5,NULL
1517,31:44.0,3,241
1518,49:56.0,5,NULL
1519,49:54.0,5,NULL
1520,31:10.0,3,232
1521,49:53.0,5,NULL
1522,30:28.0,3,89
1523,49:52.0,5,NULL
1524,30:05.0,3,228
1525,49:54.0,5,NULL
1526,29:47.0,3,92
1527,49:49.0,5,NULL
1528,29:29.0,3,238
1529,49:47.0,5,NULL
1530,28:52.0,3,249
1531,49:46.0,5,NULL
1532,49:45.0,5,NULL
